Tue Nov 10 16:55:35 2020 Epoch 0, lr: 0.0010000, val loss: 139.26153, acc: 51.89000
Tue Nov 10 16:57:51 2020 Epoch 0, lr: 0.0010000, val loss: 188.65483, acc: 52.43000
Tue Nov 10 16:58:40 2020 Epoch 1, lr: 0.0010000, val loss: 97.11176, acc: 66.11000
Tue Nov 10 16:59:30 2020 Epoch 2, lr: 0.0010000, val loss: 71.53423, acc: 75.35000
Tue Nov 10 17:00:19 2020 Epoch 3, lr: 0.0010000, val loss: 65.27150, acc: 77.70000
Tue Nov 10 17:01:08 2020 Epoch 4, lr: 0.0010000, val loss: 55.97008, acc: 80.95000
Tue Nov 10 17:01:56 2020 Epoch 5, lr: 0.0010000, val loss: 53.03088, acc: 81.76000
Tue Nov 10 17:02:44 2020 Epoch 6, lr: 0.0010000, val loss: 58.32269, acc: 81.13000
Tue Nov 10 17:03:32 2020 Epoch 7, lr: 0.0010000, val loss: 44.69856, acc: 84.89000
Tue Nov 10 17:04:20 2020 Epoch 8, lr: 0.0010000, val loss: 43.28370, acc: 85.52000
Tue Nov 10 17:05:07 2020 Epoch 9, lr: 0.0010000, val loss: 43.51846, acc: 85.79000
Tue Nov 10 17:05:55 2020 Epoch 10, lr: 0.0010000, val loss: 40.76780, acc: 86.73000
Tue Nov 10 17:06:43 2020 Epoch 11, lr: 0.0010000, val loss: 33.42014, acc: 88.82000
Tue Nov 10 17:07:30 2020 Epoch 12, lr: 0.0010000, val loss: 32.72130, acc: 89.22000
Tue Nov 10 17:08:17 2020 Epoch 13, lr: 0.0010000, val loss: 37.25686, acc: 88.29000
Tue Nov 10 17:09:04 2020 Epoch 14, lr: 0.0010000, val loss: 32.22187, acc: 89.50000
Tue Nov 10 17:09:52 2020 Epoch 15, lr: 0.0010000, val loss: 33.38107, acc: 89.88000
Tue Nov 10 17:16:04 2020 Epoch 0, lr: 0.0010000, val loss: 142.00233, acc: 49.93000
Tue Nov 10 17:16:32 2020 Epoch 1, lr: 0.0010000, val loss: 118.73915, acc: 59.05000
Tue Nov 10 17:17:02 2020 Epoch 2, lr: 0.0010000, val loss: 103.58685, acc: 66.58000
Tue Nov 10 17:17:32 2020 Epoch 3, lr: 0.0010000, val loss: 72.05166, acc: 75.71000
Tue Nov 10 17:18:00 2020 Epoch 4, lr: 0.0010000, val loss: 78.70928, acc: 74.00000
Tue Nov 10 17:18:29 2020 Epoch 5, lr: 0.0010000, val loss: 59.36844, acc: 79.53000
Tue Nov 10 17:18:58 2020 Epoch 6, lr: 0.0010000, val loss: 55.52919, acc: 81.59000
Tue Nov 10 17:19:27 2020 Epoch 7, lr: 0.0010000, val loss: 55.75876, acc: 82.02000
Tue Nov 10 17:19:55 2020 Epoch 8, lr: 0.0010000, val loss: 64.89630, acc: 80.11000
Tue Nov 10 17:20:24 2020 Epoch 9, lr: 0.0010000, val loss: 44.90627, acc: 85.09000
Tue Nov 10 17:20:53 2020 Epoch 10, lr: 0.0010000, val loss: 49.52963, acc: 83.62000
Tue Nov 10 17:21:22 2020 Epoch 11, lr: 0.0010000, val loss: 48.07251, acc: 84.90000
Tue Nov 10 17:21:51 2020 Epoch 12, lr: 0.0010000, val loss: 39.93268, acc: 86.90000
Tue Nov 10 17:22:20 2020 Epoch 13, lr: 0.0010000, val loss: 65.23385, acc: 80.57000
Tue Nov 10 17:22:48 2020 Epoch 14, lr: 0.0010000, val loss: 42.58549, acc: 86.12000
